id,name,team_id,team,element_type,position,cost,form,points_per_game,total_points,official_chance,official_availablity,selected_by_percent,transfers_in_event,transfers_out_event,gw_24_xp,gw_24_prob_of_appearing,gw_25_xp,gw_25_prob_of_appearing,gw_26_xp,gw_26_prob_of_appearing,gw_27_xp,gw_27_prob_of_appearing,gw_28_xp,gw_28_prob_of_appearing,gw_29_xp,gw_29_prob_of_appearing,gw_30_xp,gw_30_prob_of_appearing,gw_31_xp,gw_31_prob_of_appearing,gw_32_xp,gw_32_prob_of_appearing,gw_33_xp,gw_33_prob_of_appearing,gw_34_xp,gw_34_prob_of_appearing,gw_35_xp,gw_35_prob_of_appearing,gw_36_xp,gw_36_prob_of_appearing,gw_37_xp,gw_37_prob_of_appearing,gw_38_xp,gw_38_prob_of_appearing
19,Saka,1,ARS,3,MID,9.0,4.3,5.7,120,100.0,Available,60.1,4264,11254,5.70171,0.94123,5.80484,0.94123,6.30493,0.94123,6.08396,0.94123,6.0523,0.94123,5.91393,0.94123,5.10415,0.94123,5.92195,0.94123,5.63813,0.94123,5.70801,0.94123,5.81435,0.94123,5.68126,0.94123,6.46283,0.94123,5.77138,0.94123,6.26076,0.94123
20,Saliba,1,ARS,2,DEF,5.6,2.7,3.8,83,100.0,Available,36.4,1984,7012,3.37902,0.94114,4.27846,0.94114,3.89923,0.94114,3.69429,0.94114,4.07874,0.94114,3.44165,0.94114,2.79346,0.94114,4.47733,0.94114,3.32557,0.94114,3.77031,0.94114,4.01047,0.94114,3.21698,0.94114,4.11718,0.94114,3.40303,0.94114,4.32754,0.94114
22,Smith Rowe,1,ARS,3,MID,5.3,1.3,1.9,15,100.0,Available,0.1,28,8,2.35012,0.71203,2.41048,0.71203,2.59827,0.71203,2.5175,0.71203,2.50677,0.71203,2.45984,0.71203,2.18522,0.71203,2.46256,0.71203,2.36631,0.71203,2.39001,0.71203,2.42607,0.71203,2.38094,0.71203,2.64599,0.71203,2.4115,0.71203,2.57746,0.71203
24,Tierney,1,ARS,2,DEF,4.4,0.0,0.0,0,0.0,Unavailable,0.1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tomiyasu,1,ARS,2,DEF,4.5,0.0,3.0,39,0.0,Injured,0.3,13,37,1.7439,0.41199,2.25069,0.86955,2.03663,0.88504,1.9189,0.88504,2.13171,0.88504,1.77905,0.88504,1.42024,0.88504,2.35234,0.88504,1.71479,0.88504,1.96097,0.88504,2.09391,0.88504,1.65468,0.88504,2.15299,0.88504,1.75767,0.88504,2.26943,0.88504
26,Trossard,1,ARS,3,MID,6.5,3.0,3.1,56,100.0,Available,1.6,131,315,3.4815,0.93525,3.57056,0.93525,3.82211,0.93525,3.75333,0.93525,3.73587,0.93525,3.65955,0.93525,3.2129,0.93525,3.66397,0.93525,3.50743,0.93525,3.54597,0.93525,3.60463,0.93525,3.53122,0.93525,3.96231,0.93525,3.58092,0.93525,3.85085,0.93525
29,White,1,ARS,2,DEF,5.6,2.7,3.7,77,100.0,Available,10.6,393,2515,3.40546,0.92896,4.32133,0.92896,3.91936,0.92896,3.70478,0.92896,4.10021,0.92896,3.44492,0.92896,2.77821,0.92896,4.51019,0.92896,3.32553,0.92896,3.78297,0.92896,4.02999,0.92896,3.21383,0.92896,4.13975,0.92896,3.40519,0.92896,4.35611,0.92896
30,Xhaka,1,ARS,3,MID,6.0,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Zinchenko,1,ARS,2,DEF,5.2,4.3,4.2,84,100.0,Available,10.7,4472,1532,3.74622,0.85278,4.65417,0.85278,4.14731,0.85278,3.84401,0.85278,4.27988,0.85278,3.55758,0.85278,2.82269,0.85278,4.73178,0.85278,3.42598,0.85278,3.93019,0.85278,4.20247,0.85278,3.30286,0.85278,4.32346,0.85278,3.51379,0.85278,4.56195,0.85278
113,Raya,1,ARS,1,GKP,4.9,3.3,3.8,65,100.0,Available,6.2,980,1142,3.55172,0.9492,3.89624,0.9492,3.65101,0.9492,3.8538,0.9492,3.69371,0.9492,3.95127,0.9492,3.29754,0.9492,3.80023,0.9492,3.93019,0.9492,3.80854,0.9492,3.99127,0.9492,3.83253,0.9492,3.87277,0.9492,4.01759,0.9492,4.05877,0.9492
540,Rice,1,ARS,3,MID,5.4,2.7,3.5,77,100.0,Available,4.7,600,1068,3.73533,0.94097,3.7951,0.94097,4.07231,0.94097,3.98611,0.94097,3.96991,0.94097,3.89908,0.94097,3.48462,0.94097,3.90319,0.94097,3.75792,0.94097,3.79369,0.94097,3.84812,0.94097,3.78,0.94097,4.18002,0.94097,3.82612,0.94097,4.0766,0.94097
578,Nelson,1,ARS,3,MID,4.8,0.0,0.9,8,100.0,Available,0.0,6,6,1.38896,0.39935,1.42543,0.39935,1.49375,0.39935,1.46451,0.39935,1.46008,0.39935,1.44073,0.39935,1.32749,0.39935,1.44186,0.39935,1.40217,0.39935,1.41194,0.39935,1.42681,0.39935,1.4082,0.39935,1.51749,0.39935,1.4208,0.39935,1.48924,0.39935
585,J.Timber,1,ARS,2,DEF,4.6,0.0,0.0,0,0.0,Injured,0.4,10,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,Hein,1,ARS,1,GKP,4.0,0.0,0.0,0,,Available,0.1,4,5,2.83652,0.002,3.07281,0.002,2.90462,0.002,3.0437,0.002,2.9339,0.002,3.11055,0.002,2.66219,0.002,3.00696,0.002,3.09609,0.002,3.01266,0.002,3.13798,0.002,3.02911,0.002,3.05671,0.002,3.15603,0.002,3.18427,0.002
735,Sagoe,1,ARS,3,MID,4.5,0.0,0.0,0,,Available,0.0,3,4,1.30897,0.01076,1.32297,0.01076,1.38365,0.01076,1.35768,0.01076,1.35375,0.01076,1.33656,0.01076,1.23599,0.01076,1.33756,0.01076,1.30231,0.01076,1.31099,0.01076,1.3242,0.01076,1.30767,0.01076,1.40473,0.01076,1.31886,0.01076,1.37964,0.01076
736,Walters,1,ARS,2,DEF,4.0,0.0,0.0,0,,Available,0.0,16,10,1.46177,0.01125,1.86641,0.01125,1.68473,0.01125,1.58479,0.01125,1.76542,0.01125,1.46609,0.01125,1.16154,0.01125,1.9527,0.01125,1.41155,0.01125,1.62051,0.01125,1.73334,0.01125,1.36053,0.01125,1.78348,0.01125,1.44794,0.01125,1.88232,0.01125
737,Ibrahim,1,ARS,3,MID,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764,Lewis-Skelly,1,ARS,3,MID,4.5,0.0,0.0,0,,Available,0.0,3,0,1.37319,0.04095,1.38769,0.04095,1.4505,0.04095,1.42362,0.04095,1.41955,0.04095,1.40176,0.04095,1.29764,0.04095,1.40279,0.04095,1.3663,0.04095,1.37528,0.04095,1.38896,0.04095,1.37185,0.04095,1.47234,0.04095,1.38343,0.04095,1.44635,0.04095
772,Nwaneri,1,ARS,3,MID,4.5,0.0,0.0,0,,Available,0.0,1,1,1.3998,0.07251,1.4145,0.07251,1.4782,0.07251,1.45094,0.07251,1.44681,0.07251,1.42877,0.07251,1.32319,0.07251,1.42982,0.07251,1.39281,0.07251,1.40192,0.07251,1.41579,0.07251,1.39843,0.07251,1.50034,0.07251,1.41018,0.07251,1.47399,0.07251
32,Alex Moreno,2,AVL,2,DEF,5.1,6.7,3.5,35,100.0,Available,1.6,2942,698,2.78928,0.91347,2.801,0.91347,3.21096,0.91347,2.65978,0.91347,2.76058,0.91347,2.60113,0.91347,3.13138,0.91347,2.11254,0.91347,3.09529,0.91347,2.25799,0.91347,3.12468,0.91347,2.60816,0.91347,2.51941,0.91347,2.51265,0.91347,3.08178,0.91347
34,Bailey,2,AVL,3,MID,5.6,4.7,4.2,88,100.0,Available,3.5,2796,2433,3.06225,0.93972,2.96389,0.93972,3.24162,0.93972,3.10054,0.93972,3.07781,0.93972,2.98946,0.93972,3.17293,0.93972,2.72178,0.93972,3.15373,0.93972,2.83091,0.93972,3.34075,0.93972,3.09069,0.93972,2.96504,0.93972,3.02254,0.93972,2.95158,0.93972
35,Buendia,2,AVL,3,MID,5.7,0.0,0.0,0,0.0,Injured,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67003,0.01,2.40045,0.78409,2.82621,0.87913,2.61739,0.89785,2.51247,0.89785,2.56048,0.90611,2.50122,0.90611
36,Cash,2,AVL,2,DEF,4.7,1.0,2.6,53,100.0,Available,16.0,964,7365,3.01881,0.78266,3.0365,0.78266,3.5603,0.78266,2.88736,0.78266,3.04776,0.78266,2.85602,0.78266,3.49366,0.78266,2.26848,0.78266,3.45026,0.78266,2.44339,0.78266,3.4856,0.78266,2.86448,0.78266,2.75775,0.78266,2.74962,0.78266,3.43402,0.78266
37,Chambers,2,AVL,2,DEF,3.8,0.0,0.0,0,,Available,0.9,836,206,1.59551,0.00132,1.55654,0.00132,1.76798,0.00132,1.39693,0.00132,1.45544,0.00132,1.36057,0.00132,1.67605,0.00132,1.06988,0.00132,1.65458,0.00132,1.15641,0.00132,1.67206,0.00132,1.36476,0.00132,1.31195,0.00132,1.30793,0.00132,1.64654,0.00132
38,Coutinho,2,AVL,3,MID,5.8,0.0,1.0,2,0.0,Unavailable,0.2,0,7,2.63649,0.0,2.59192,0.0,2.72911,0.0,2.43827,0.0,2.55539,0.0,2.44274,0.0,2.57464,0.0,2.23466,0.0,2.6307,0.0,2.33809,0.0,2.77631,0.0,2.48413,0.0,2.47372,0.0,2.48548,0.0,2.45695,0.0
39,Davis,2,AVL,4,FWD,4.9,0.0,0.0,0,0.0,Unavailable,0.1,0,3,2.20328,0.0,2.35799,0.0,2.52396,0.0,1.97207,0.0,2.06529,0.0,2.09748,0.0,2.22231,0.0,1.92503,0.0,2.04951,0.0,2.01794,0.0,2.2254,0.0,2.05291,0.0,2.05484,0.0,2.23481,0.0,2.08475,0.0
40,Dendoncker,2,AVL,3,MID,4.9,0.0,2.5,20,0.0,Unavailable,0.0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Diego Carlos,2,AVL,2,DEF,4.4,3.7,2.3,37,100.0,Available,0.7,303,248,2.54028,0.74702,2.54179,0.74702,2.86531,0.74702,2.36847,0.74702,2.46568,0.74702,2.33449,0.74702,2.77078,0.74702,1.93249,0.74702,2.74108,0.74702,2.05216,0.74702,2.76526,0.74702,2.34028,0.74702,2.26725,0.74702,2.26169,0.74702,2.72996,0.74702
42,Digne,2,AVL,2,DEF,4.6,0.0,3.1,56,50.0,Doubtful,2.7,35,1375,3.04052,0.30917,2.97078,0.63828,3.34916,0.82273,2.68515,0.87499,2.78985,0.89413,2.62009,0.89413,3.18465,0.89413,2.09989,0.89413,3.14622,0.89413,2.25475,0.89413,3.17751,0.89413,2.62758,0.89413,2.53308,0.89413,2.52589,0.89413,3.13184,0.89413
43,Douglas Luiz,2,AVL,3,MID,5.6,3.0,4.7,103,100.0,Available,9.0,2716,6878,4.80758,0.93772,4.54793,0.93772,4.99915,0.93772,4.76513,0.93772,4.71606,0.93772,4.57058,0.93772,4.87271,0.93772,4.12977,0.93772,4.84109,0.93772,4.30948,0.93772,5.14908,0.93772,4.73728,0.93772,4.53037,0.93772,4.62505,0.93772,4.5082,0.93772
44,Duran,2,AVL,4,FWD,5.0,0.3,1.7,24,0.0,Injured,0.2,5,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Hause,2,AVL,2,DEF,3.9,0.0,0.0,0,,Available,0.2,9,25,1.58289,3e-05,1.54392,3e-05,1.75536,3e-05,1.38431,3e-05,1.44282,3e-05,1.34796,3e-05,1.66344,3e-05,1.05726,3e-05,1.64196,3e-05,1.1438,3e-05,1.65945,3e-05,1.35214,3e-05,1.29933,3e-05,1.29531,3e-05,1.63392,3e-05
46,Iroegbunam,2,AVL,3,MID,4.4,0.3,1.0,2,100.0,Available,0.0,4,2,1.07946,0.30198,1.06486,0.30198,1.13496,0.30198,1.11846,0.30198,1.13056,0.30198,1.11115,0.30198,1.15145,0.30198,1.05237,0.30198,1.14723,0.30198,1.07633,0.30198,1.1883,0.30198,1.13339,0.30198,1.10579,0.30198,1.11842,0.30198,1.10283,0.30198
47,Kamara,2,AVL,3,MID,5.0,2.3,2.0,38,100.0,Available,0.1,32,22,2.59383,0.92202,2.5418,0.92202,2.77853,0.92202,2.70579,0.92202,2.70036,0.92202,2.63422,0.92202,2.77158,0.92202,2.43381,0.92202,2.75721,0.92202,2.51552,0.92202,2.89723,0.92202,2.71001,0.92202,2.61594,0.92202,2.65899,0.92202,2.60586,0.92202
48,Konsa,2,AVL,2,DEF,4.6,2.7,2.6,59,,Available,3.3,956,1409,3.41301,0.94123,3.43284,0.94123,3.91923,0.94123,3.23985,0.94123,3.35942,0.94123,3.1734,0.94123,3.79202,0.94123,2.60338,0.94123,3.74991,0.94123,2.77307,0.94123,3.7842,0.94123,3.1816,0.94123,3.07805,0.94123,3.07017,0.94123,3.73415,0.94123
49,Martinez,2,AVL,1,GKP,5.2,6.0,3.6,79,100.0,Available,12.5,3087,1998,3.89821,0.94941,3.69361,0.94941,3.99894,0.94941,3.77206,0.94941,3.6134,0.94941,3.45731,0.94941,3.65648,0.94941,3.21462,0.94941,3.59289,0.94941,3.65669,0.94941,3.76386,0.94941,3.83881,0.94941,3.81868,0.94941,3.56176,0.94941,3.75244,0.94941
50,McGinn,2,AVL,3,MID,5.5,4.0,3.9,90,100.0,Available,1.6,1125,1194,4.59832,0.94123,4.34699,0.94123,4.59018,0.94123,4.29088,0.94123,4.14845,0.94123,4.02997,0.94123,4.27602,0.94123,3.67099,0.94123,4.25027,0.94123,3.81734,0.94123,4.50109,0.94123,4.16573,0.94123,3.99723,0.94123,4.07433,0.94123,3.97917,0.94123
51,Mings,2,AVL,2,DEF,4.1,0.0,0.0,0,0.0,Injured,1.1,7,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Olsen,2,AVL,1,GKP,3.9,0.0,2.0,2,100.0,Available,0.6,35,41,3.10312,0.002,2.96067,0.002,3.17326,0.002,3.01528,0.002,2.90482,0.002,2.79614,0.002,2.93481,0.002,2.62716,0.002,2.89053,0.002,2.93496,0.002,3.00958,0.002,3.06176,0.002,3.04775,0.002,2.86886,0.002,3.00162,0.002
54,Philogene,2,AVL,3,MID,4.5,0.0,1.0,1,0.0,Unavailable,0.1,0,2,1.35034,0.0,1.34071,0.0,1.37977,0.0,1.29927,0.0,1.33413,0.0,1.30007,0.0,1.33065,0.0,1.2427,0.0,1.34988,0.0,1.26801,0.0,1.38441,0.0,1.31163,0.0,1.31351,0.0,1.312,0.0,1.30147,0.0
55,J.Ramsey,2,AVL,3,MID,5.9,0.7,1.6,19,100.0,Available,0.1,36,31,2.79638,0.84927,2.72726,0.84927,3.02686,0.84927,2.95835,0.84927,2.96826,0.84927,2.88579,0.84927,3.05706,0.84927,2.63589,0.84927,3.03914,0.84927,2.73777,0.84927,3.21373,0.84927,2.98029,0.84927,2.86299,0.84927,2.91667,0.84927,2.85042,0.84927
56,Sanson,2,AVL,3,MID,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Sinisalo,2,AVL,1,GKP,4.0,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tielemans,2,AVL,3,MID,5.6,3.3,2.1,39,100.0,Available,0.4,97,26,2.49427,0.92036,2.43274,0.92036,2.6356,0.92036,2.53867,0.92036,2.5169,0.92036,2.45633,0.92036,2.58211,0.92036,2.27282,0.92036,2.56895,0.92036,2.34763,0.92036,2.69716,0.92036,2.52573,0.92036,2.43959,0.92036,2.47901,0.92036,2.43036,0.92036
59,Bertrand Traoré,2,AVL,3,MID,5.0,0.0,1.0,2,100.0,Available,0.0,5,2,1.5435,0.04716,1.48661,0.04716,1.57208,0.04716,1.51199,0.04716,1.49996,0.04716,1.46735,0.04716,1.53507,0.04716,1.36854,0.04716,1.52799,0.04716,1.40882,0.04716,1.59702,0.04716,1.50472,0.04716,1.45834,0.04716,1.47956,0.04716,1.45337,0.04716
60,Watkins,2,AVL,4,FWD,8.8,8.7,6.3,146,100.0,Available,53.4,11455,13401,5.1838,0.94123,5.28556,0.94123,6.22407,0.94123,5.24102,0.94123,5.27782,0.94123,5.4381,0.94123,5.27809,0.94123,4.70502,0.94123,5.05572,0.94123,4.5883,0.94123,4.99848,0.94123,4.99139,0.94123,5.07872,0.94123,5.19371,0.94123,4.80548,0.94123
61,Wesley,2,AVL,4,FWD,5.0,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,Pau,2,AVL,2,DEF,4.6,0.0,3.4,61,0.0,Injured,3.3,38,5094,3.08604,0.74561,3.06979,0.84094,3.41853,0.84094,2.80652,0.85979,2.90303,0.85979,2.74656,0.86814,3.26691,0.86814,2.2671,0.86814,3.23149,0.86814,2.40983,0.86814,3.26033,0.86814,2.75346,0.86814,2.66636,0.86814,2.65973,0.86814,3.21823,0.86814
599,Diaby,2,AVL,3,MID,6.5,2.0,4.0,91,100.0,Available,8.4,773,8525,4.09473,0.92565,3.88769,0.92565,4.28787,0.92565,4.12653,0.92565,4.11568,0.92565,3.99812,0.92565,4.24225,0.92565,3.64194,0.92565,4.2167,0.92565,3.78715,0.92565,4.46556,0.92565,4.13282,0.92565,3.96563,0.92565,4.04214,0.92565,3.94772,0.92565
618,Kellyman,2,AVL,3,MID,4.5,0.0,0.0,0,,Available,0.0,4,6,1.24237,0.00057,1.2031,0.00057,1.26209,0.00057,1.22061,0.00057,1.21231,0.00057,1.18981,0.00057,1.23655,0.00057,1.12161,0.00057,1.23166,0.00057,1.14941,0.00057,1.27931,0.00057,1.2156,0.00057,1.18358,0.00057,1.19823,0.00057,1.18015,0.00057
670,Marschall,2,AVL,1,GKP,4.0,0.0,0.0,0,0.0,Unavailable,0.0,0,10,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002
672,Zaniolo,2,AVL,3,MID,5.4,0.3,1.2,18,100.0,Available,0.1,11,19,1.96426,0.58619,1.93829,0.58619,2.15349,0.58619,2.08428,0.58619,2.0639,0.58619,2.00866,0.58619,2.12339,0.58619,1.84127,0.58619,2.11138,0.58619,1.90951,0.58619,2.22833,0.58619,2.07196,0.58619,1.99339,0.58619,2.02934,0.58619,1.98497,0.58619
