name,team_id,team,element_type,position,cost,form,points_per_game,total_points,official_chance,official_availablity,selected_by_percent,transfers_in_event,transfers_out_event,gw_24_xp,gw_24_prob_of_appearing,gw_25_xp,gw_25_prob_of_appearing,gw_26_xp,gw_26_prob_of_appearing,gw_27_xp,gw_27_prob_of_appearing,gw_28_xp,gw_28_prob_of_appearing,gw_29_xp,gw_29_prob_of_appearing,gw_30_xp,gw_30_prob_of_appearing,gw_31_xp,gw_31_prob_of_appearing,gw_32_xp,gw_32_prob_of_appearing,gw_33_xp,gw_33_prob_of_appearing,gw_34_xp,gw_34_prob_of_appearing,gw_35_xp,gw_35_prob_of_appearing,gw_36_xp,gw_36_prob_of_appearing,gw_37_xp,gw_37_prob_of_appearing,gw_38_xp,gw_38_prob_of_appearing
Amad,14,MUN,3,MID,4.4,0.0,1.0,1,100.0,Available,0.0,36,64,1.05477,0.13988,1.11427,0.13988,1.16277,0.13988,1.01719,0.13988,1.14883,0.13988,1.13926,0.13988,1.11202,0.13988,1.06518,0.13988,1.10952,0.13988,1.10537,0.13988,1.1525,0.13988,1.1433,0.13988,1.0746,0.13988,1.0782,0.13988,1.07796,0.13988
Antony,14,MUN,3,MID,6.8,1.0,1.5,29,100.0,Available,0.6,187,447,2.35121,0.92872,2.67419,0.92872,2.95472,0.92872,2.53996,0.92872,3.02337,0.92872,2.99125,0.92872,2.89985,0.92872,2.74267,0.92872,2.89148,0.92872,2.87754,0.92872,3.0357,0.92872,3.00482,0.92872,2.77429,0.92872,2.78637,0.92872,2.78557,0.92872
B.Fernandes,14,MUN,3,MID,8.2,4.3,3.7,81,100.0,Available,10.3,6620,11798,5.15274,0.90895,5.6804,0.90895,6.14316,0.90895,4.89571,0.90895,6.07118,0.90895,5.98914,0.90895,5.75567,0.90895,5.35419,0.90895,5.73429,0.90895,5.69869,0.90895,6.10267,0.90895,6.02379,0.90895,5.43495,0.90895,5.46582,0.90895,5.46378,0.90895
B.Williams,14,MUN,2,DEF,4.0,0.0,0.0,0,0.0,Unavailable,0.1,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bailly,14,MUN,2,DEF,4.0,0.0,0.0,0,0.0,Unavailable,0.1,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casemiro,14,MUN,3,MID,5.3,2.3,2.8,28,100.0,Available,2.0,1062,510,2.78466,0.75304,2.99624,0.75304,3.20312,0.75304,2.63107,0.75304,3.17859,0.75304,3.14017,0.75304,3.03085,0.75304,2.84287,0.75304,3.02084,0.75304,3.00417,0.75304,3.19333,0.75304,3.1564,0.75304,2.88068,0.75304,2.89513,0.75304,2.89418,0.75304
Dalot,14,MUN,2,DEF,5.1,2.7,3.1,66,100.0,Available,3.4,9616,5511,2.61771,0.93802,2.77266,0.93802,3.38539,0.93802,2.29747,0.93802,3.53733,0.93802,3.79178,0.93802,2.9886,0.93802,2.50889,0.93802,2.76808,0.93802,3.19504,0.93802,3.2038,0.93802,3.63947,0.93802,3.326,0.93802,2.94163,0.93802,2.74269,0.93802
Eriksen,14,MUN,3,MID,5.8,0.3,2.3,34,100.0,Available,0.4,84,224,2.86921,0.53936,3.06862,0.53936,3.28143,0.53936,2.7289,0.53936,3.22851,0.53936,3.19218,0.53936,3.0888,0.53936,2.91103,0.53936,3.07933,0.53936,3.06357,0.53936,3.24245,0.53936,3.20752,0.53936,2.94679,0.53936,2.96046,0.53936,2.95956,0.53936
Fernandez,14,MUN,2,DEF,4.0,0.0,0.0,0,0.0,Unavailable,0.1,0,47,1.50089,0.0,1.50445,0.0,1.9227,0.0,1.08905,0.0,2.09598,0.0,1.99443,0.0,1.66722,0.0,1.39588,0.0,1.45309,0.0,1.8635,0.0,1.81689,0.0,2.12453,0.0,1.85435,0.0,1.73047,0.0,1.47789,0.0
Fred,14,MUN,3,MID,5.0,0.0,0.0,0,0.0,Unavailable,0.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garnacho,14,MUN,3,MID,4.8,6.3,3.5,74,,Available,5.9,83178,9841,3.08226,0.93772,3.30868,0.93772,3.5234,0.93772,2.91732,0.93772,3.4671,0.93772,3.42729,0.93772,3.31402,0.93772,3.11922,0.93772,3.30364,0.93772,3.28637,0.93772,3.48237,0.93772,3.4441,0.93772,3.15841,0.93772,3.17338,0.93772,3.17239,0.93772
Hannibal,14,MUN,3,MID,4.3,0.0,2.2,11,0.0,Unavailable,0.1,0,341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
