ID,Name,Team,Pos,Price,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
30,Xhaka,ARS,MID,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Zinchenko,ARS,DEF,5,1.42538,0.87929,1.25333,4.11715,0.87929,3.62019,2.31498,0.87929,2.03555,3.08162,0.87929,2.70965,3.29771,0.87929,2.89966,2.24154,0.87929,1.97098,3.39702,0.87929,2.98698,2.61592,0.87929,2.30017,4.36808,0.87929,3.84083,3.1341,0.87929,2.7558
32,"Alex Moreno",AVL,DEF,5.2,2.26523,0.9348,2.11755,1.19735,0.9348,1.11929,2.54286,0.9348,2.37707,1.52221,0.9348,1.42297,2.46178,0.9348,2.30128,2.30074,0.9348,2.15074,1.85897,0.9348,1.73777,2.09739,0.9348,1.96065,2.6372,0.9348,2.46527,0,0,0
33,Archer,SHU,FWD,4.2,2.6812,0.24337,0.65251,2.19713,0.50243,1.10391,2.38053,0.66729,1.58851,2.29034,0.74395,1.70389,2.59063,0.77906,2.01826,2.37747,0.77906,1.85219,2.68615,0.77906,2.09267,2.48182,0.77906,1.93348,2.39047,0.77906,1.86232,2.17306,0.77906,1.69294
34,Bailey,AVL,MID,5.7,3.25095,0.94093,3.0589,2.58741,0.94093,2.43456,3.27594,0.94093,3.08242,2.73889,0.94093,2.57709,3.48719,0.94093,3.28119,3.26973,0.94093,3.07658,2.94371,0.94093,2.76982,3.2423,0.94093,3.05077,3.07272,0.94093,2.8912,0,0,0
35,Buendia,AVL,MID,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Cash,AVL,DEF,4.6,2.64739,0.90825,2.40449,1.32452,0.90825,1.20299,2.9108,0.90825,2.64373,1.64509,0.90825,1.49415,2.77415,0.90825,2.51962,2.57981,0.90825,2.34311,2.04667,0.90825,1.85888,2.33441,0.90825,2.12022,2.98586,0.90825,2.7119,0,0,0
37,Chambers,AVL,DEF,3.8,1.4579,0.10406,0.15171,0.69392,0.10406,0.07221,1.52379,0.10406,0.15857,0.81038,0.10406,0.08433,1.4153,0.10406,0.14728,1.3085,0.10406,0.13617,1.01553,0.10406,0.10568,1.17365,0.10406,0.12213,1.53164,0.10406,0.15939,0,0,0
38,Coutinho,AVL,MID,5.8,2.57464,0,2.10999,2.23466,0,1.83137,2.6307,0,2.15594,2.33809,0,1.91614,2.77631,0,2.27527,2.48413,0,2.03582,2.47372,0,2.02729,2.48548,0,2.03692,2.45695,0,2.01355,0,0,0
39,Davis,AVL,FWD,4.9,2.22231,0,0.03287,1.92503,0,0.02847,2.04951,0,0.03031,2.01794,0,0.02984,2.2254,0,0.03291,2.05291,0,0.03036,2.05484,0,0.03039,2.23481,0,0.03305,2.08475,0,0.03083,0,0,0
40,Dendoncker,AVL,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"Diego Carlos",AVL,DEF,4.4,2.04761,0.84192,1.72393,1.2092,0.84192,1.01805,2.13344,0.84192,1.79619,1.38162,0.84192,1.16322,2.03859,0.84192,1.71633,1.9226,0.84192,1.61868,1.60442,0.84192,1.3508,1.77614,0.84192,1.49538,2.16493,0.84192,1.82271,0,0,0
42,Digne,AVL,DEF,4.6,2.32355,0.9301,2.16113,1.136,0.9301,1.0566,2.52185,0.9301,2.34557,1.42605,0.9301,1.32637,2.4236,0.9301,2.25419,2.25218,0.9301,2.09475,1.78192,0.9301,1.65737,2.03572,0.9301,1.89343,2.61033,0.9301,2.42787,0,0,0
43,"Douglas Luiz",AVL,MID,5.7,3.64203,0.94086,3.42666,3.04498,0.94086,2.86491,3.97188,0.94086,3.737,3.34769,0.94086,3.14972,4.3219,0.94086,4.06632,4.05166,0.94086,3.81206,3.64651,0.94086,3.43086,4.01757,0.94086,3.77998,3.80682,0.94086,3.5817,0,0,0
44,Duran,AVL,FWD,5,1.34862,0.87591,1.18127,1.1731,0.87591,1.02753,1.2894,0.87591,1.1294,1.1593,0.87591,1.01545,1.32962,0.87591,1.16463,1.41151,0.87591,1.23636,1.31847,0.87591,1.15486,1.38122,0.87591,1.20983,1.28395,0.87591,1.12463,0,0,0
45,Hause,AVL,DEF,3.9,1.53154,2.0E-5,3.0E-5,0.69374,2.0E-5,1.0E-5,1.57034,2.0E-5,3.0E-5,0.81676,2.0E-5,1.0E-5,1.45574,2.0E-5,2.0E-5,1.34293,2.0E-5,2.0E-5,1.03346,2.0E-5,2.0E-5,1.20048,2.0E-5,2.0E-5,1.57862,2.0E-5,3.0E-5,0,0,0
46,Iroegbunam,AVL,MID,4.4,1.00049,0.45398,0.4542,0.93904,0.45398,0.4263,1.08177,0.45398,0.4911,1.00583,0.45398,0.45662,1.13046,0.45398,0.5132,1.09454,0.45398,0.4969,1.04068,0.45398,0.47245,1.09001,0.45398,0.49484,1.06199,0.45398,0.48212,0,0,0
47,Kamara,AVL,MID,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Konsa,AVL,DEF,4.5,2.72211,0.92391,2.51497,1.55654,0.92391,1.4381,2.911,0.92391,2.68949,1.82869,0.92391,1.68954,2.77885,0.92391,2.5674,2.61303,0.92391,2.41419,2.15813,0.92391,1.99391,2.40364,0.92391,2.22074,2.95949,0.92391,2.73429,0,0,0
49,Martinez,AVL,GK,5.3,3.26467,0.94941,3.09952,2.80267,0.94941,2.66089,3.21173,0.94941,3.04926,3.24319,0.94941,3.07912,3.28739,0.94941,3.12109,3.55649,0.94941,3.37657,3.4811,0.94941,3.305,3.29401,0.94941,3.12737,3.54363,0.94941,3.36437,0,0,0
50,McGinn,AVL,MID,5.4,0,0,0,0,0,0,3.28066,0.92649,3.03949,2.81435,0.92649,2.60746,3.48097,0.92649,3.22508,3.28883,0.92649,3.04707,3.00077,0.92649,2.78019,3.26459,0.92649,3.02461,3.11476,0.92649,2.88579,0,0,0
51,Mings,AVL,DEF,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Nakamba,LUT,MID,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3533,0.01,0.01353,1.44708,0.42124,0.60957,0,0,0
53,Olsen,AVL,GK,3.9,2.72484,0.00201,0.00546,2.37511,0.00201,0.00476,2.68477,0.00201,0.00538,2.70858,0.00201,0.00543,2.74204,0.00201,0.0055,2.94574,0.00201,0.00591,2.88868,0.00201,0.00579,2.74705,0.00201,0.00551,2.93601,0.00201,0.00589,0,0,0
